id,name,sales_amount,region,date
1,John,1500.5,North,01/06/2025
2,Alice,1800,South,02/06/2025
3,Bob,1200.75,East,02/06/2025
4,David,1450,West,03/06/2025
5,Eve,,North,04/06/2025
6,,1300.25,South,04/06/2025
7,Alice,1800,South,02/06/2025
8,Frank,1600,North,05/06/2025
9,George,1900,East,06/06/2025
10,Helen,1750.25,South,06/06/2025
11,Ian,0,North,07/06/2025
12,Julia,1350,West,08/06/2025
13,Liam,,East,09/06/2025
14,Maya,1600,,10/06/2025
15,Nina,1400,North,10/06/2025
16,Oscar,1800,South,11/06/2025
17,Peter,1700,East,11/06/2025
18,,1550.5,West,12/06/2025
19,Quinn,1650,North,13/06/2025
20,Rita,1550.75,South,14/06/2025
21,Steve,-100,East,15/06/2025
22,Tina,1900,West,16/06/2025
